Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
1857x,molecules2,EDL119-052315,480.3453,1,480.3453,1,precursor,18.44,6404204,260825,1
1857x,molecules2,EDL120-052315,480.3453,1,480.3453,1,precursor,18.47,1081828,83008,1
1857x,molecules2,EDL121-052315,480.3453,1,480.3453,1,precursor,18.48,7642567,313032,1
1857x,molecules2,EDL122-052315,480.3453,1,480.3453,1,precursor,18.52,1225658,64029,1
1857x,molecules2,EDL123-052315,480.3453,1,480.3453,1,precursor,18.6,4277898,121004,1
1857x,molecules2,EDL124-052315,480.3453,1,480.3453,1,precursor,18.56,1570973,64668,1
1857x,molecules2,EDL125-052315,480.3453,1,480.3453,1,precursor,18.47,4637698,97172,1
1857x,molecules2,EDL81-052315,480.3453,1,480.3453,1,precursor,18.6,7489298,290373,1
1857x,molecules2,EDL82-052315,480.3453,1,480.3453,1,precursor,18.63,2395976,83594,1
1857x,molecules2,EDL83-052315,480.3453,1,480.3453,1,precursor,18.65,5433626,192790,1
1857x,molecules2,EDL84-052315,480.3453,1,480.3453,1,precursor,18.53,5692404,224118,1
1857x,molecules2,EDL85-052315,480.3453,1,480.3453,1,precursor,18.59,1737087,84414,1
1857x,molecules2,EDL91-052315,480.3453,1,480.3453,1,precursor,18.55,1375439,80161,1
1857x,molecules2,EDL92-052315,480.3453,1,480.3453,1,precursor,18.45,880665,36188,1
1857x,molecules2,EDL93-052315,480.3453,1,480.3453,1,precursor,18.47,1150073,60062,1
1857x,molecules2,EDL94-052315,480.3453,1,480.3453,1,precursor,18.45,2027938,99082,1
1857x,molecules2,EDL95-052315,480.3453,1,480.3453,1,precursor,18.5,3673313,194036,1
1857x,molecules2,EDL96-052315,480.3453,1,480.3453,1,precursor,18.52,1681851,85655,1
1857x,molecules2,EDL97-052315,480.3453,1,480.3453,1,precursor,18.59,732518,37286,1
1857x,molecules2,EDL98-052315,480.3453,1,480.3453,1,precursor,18.53,9865951,256172,1
1857x,molecules2,EDL99-052315,480.3453,1,480.3453,1,precursor,18.53,2307598,121330,1
1857x,molecules2,ELL11-052315,480.3453,1,480.3453,1,precursor,18.56,2424219,121474,1
1857x,molecules2,ELL12-052315,480.3453,1,480.3453,1,precursor,18.44,2028907,101923,1
1857x,molecules2,ELL13-052315,480.3453,1,480.3453,1,precursor,18.51,1442556,207027,1
1857x,molecules2,ELL14-052315,480.3453,1,480.3453,1,precursor,18.59,1896068,75798,1
1857x,molecules2,ELL15-052315,480.3453,1,480.3453,1,precursor,18.48,1293011,57255,1
1857x,molecules2,ELL21-052315,480.3453,1,480.3453,1,precursor,18.58,3686840,158827,1
1857x,molecules2,ELL22-052315,480.3453,1,480.3453,1,precursor,18.59,8187283,173849,1
1857x,molecules2,ELL23-052315,480.3453,1,480.3453,1,precursor,18.49,2951508,134845,1
1857x,molecules2,ELL24-052315,480.3453,1,480.3453,1,precursor,18.51,3128333,150141,1
1857x,molecules2,ELL25-052315,480.3453,1,480.3453,1,precursor,18.47,2158805,100653,1
1857x,molecules2,ELL26-052315,480.3453,1,480.3453,1,precursor,18.52,1202946,48201,1
1857x,molecules2,ELL27-052315,480.3453,1,480.3453,1,precursor,18.57,2200831,98161,1
1857x,molecules2,ELL28-052315,480.3453,1,480.3453,1,precursor,18.58,2093172,90650,1
1857x,molecules2,ELL29-052315,480.3453,1,480.3453,1,precursor,18.6,3704374,176222,1
1857x,molecules2,ELL30-052315,480.3453,1,480.3453,1,precursor,18.6,1591594,84776,1
1857x,molecules2,ELL31-052315,480.3453,1,480.3453,1,precursor,18.52,1573766,79457,1
1857x,molecules2,ELL32-052315,480.3453,1,480.3453,1,precursor,18.46,1012093,34832,1
1857x,molecules2,ELL33-052315,480.3453,1,480.3453,1,precursor,18.59,1555393,45620,1
1857x,molecules2,ELL34-052315,480.3453,1,480.3453,1,precursor,18.53,5922137,170244,1
1857x,molecules2,ELL35-052315,480.3453,1,480.3453,1,precursor,18.53,2159138,117739,1
1857x,molecules2,ELL36-052315,480.3453,1,480.3453,1,precursor,18.59,1768492,77956,1
1857x,molecules2,ELL37-052315,480.3453,1,480.3453,1,precursor,18.53,45474,14186,1
1857x,molecules2,ELL38-052315,480.3453,1,480.3453,1,precursor,18.61,6949138,237398,1
1857x,molecules2,ELL39-052315,480.3453,1,480.3453,1,precursor,18.49,7072454,227977,1
1857x,molecules2,ELL40-052315,480.3453,1,480.3453,1,precursor,18.53,1483828,62516,1
1857x,molecules2,ELL41-052315,480.3453,1,480.3453,1,precursor,18.57,3334818,149972,1
1857x,molecules2,ELL42-052315,480.3453,1,480.3453,1,precursor,18.49,10498685,402470,1
1857x,molecules2,ELL43-052315,480.3453,1,480.3453,1,precursor,18.53,10543980,431860,1
1857x,molecules2,ELL44-052315,480.3453,1,480.3453,1,precursor,18.48,7728244,286216,1
1857x,molecules2,ELL45-052315,480.3453,1,480.3453,1,precursor,18.61,4992494,216905,1
1857x,molecules2,ELL46-052315,480.3453,1,480.3453,1,precursor,18.59,6661227,150454,1
1857x,molecules2,ELL47-052315,480.3453,1,480.3453,1,precursor,18.54,2538920,111197,1
1857x,molecules2,ELL48-052315,480.3453,1,480.3453,1,precursor,18.59,6356596,233727,1
1857x,molecules2,ELL49-052315,480.3453,1,480.3453,1,precursor,18.53,12748952,306395,1
1857x,molecules2,ELL50-052315,480.3453,1,480.3453,1,precursor,18.5,3252548,143406,1
1857x,molecules2,ELL51-052315,480.3453,1,480.3453,1,precursor,18.59,3138894,94699,1
1857x,molecules2,ELL52-052315,480.3453,1,480.3453,1,precursor,18.6,1887508,73059,1
1857x,molecules2,ELL53-052315,480.3453,1,480.3453,1,precursor,18.53,4359003,178215,1
1857x,molecules2,ELL54-052315,480.3453,1,480.3453,1,precursor,18.56,2727361,128363,1
1857x,molecules2,ELL55-052315,480.3453,1,480.3453,1,precursor,18.53,4482121,214024,1
1857x,molecules2,HCHu01-052315,480.3453,1,480.3453,1,precursor,18.58,1973943,76094,1
1857x,molecules2,HCHu02-052315,480.3453,1,480.3453,1,precursor,18.61,1773273,79662,1
1857x,molecules2,HCHu03-052315,480.3453,1,480.3453,1,precursor,18.57,2432561,120315,1
1857x,molecules2,HCHu04-052315,480.3453,1,480.3453,1,precursor,18.56,1662422,88893,1
1857x,molecules2,HCHu05-052315,480.3453,1,480.3453,1,precursor,18.47,1257541,51560,1
1857x,molecules2,HCHu06-052315,480.3453,1,480.3453,1,precursor,18.47,1130729,44710,1
1857x,molecules2,HCHu07-052315,480.3453,1,480.3453,1,precursor,18.47,2055101,89608,1
1857x,molecules2,HCHu08-052315,480.3453,1,480.3453,1,precursor,18.46,1356690,54440,1
1857x,molecules2,HCW01-052315,480.3453,1,480.3453,1,precursor,18.61,2277767,98491,1
1857x,molecules2,HCW02-052315,480.3453,1,480.3453,1,precursor,18.45,1488018,95705,1
1857x,molecules2,HCW03-052315,480.3453,1,480.3453,1,precursor,18.6,2124465,80572,1
1857x,molecules2,HCW04-052315,480.3453,1,480.3453,1,precursor,18.51,1653253,84201,1
1857x,molecules2,HCW05-052315,480.3453,1,480.3453,1,precursor,18.48,1738328,114088,1
1857x,molecules2,HCW06-052315,480.3453,1,480.3453,1,precursor,18.57,2717782,126753,1
1857x,molecules2,HCW07-052315,480.3453,1,480.3453,1,precursor,18.53,2999995,171859,1
1857x,molecules2,HCW08-052315,480.3453,1,480.3453,1,precursor,18.56,1699481,106777,1
1857x,molecules2,HCW09-052315,480.3453,1,480.3453,1,precursor,18.62,1632897,66684,1
1857x,molecules2,HCW10-052315,480.3453,1,480.3453,1,precursor,18.46,1103202,55898,1
1857x,molecules2,HCW14-052315,480.3453,1,480.3453,1,precursor,18.55,2186074,106334,1
1857x,molecules2,HCW15-052315,480.3453,1,480.3453,1,precursor,18.59,2712194,126148,1
1857x,molecules2,HCW16-052315,480.3453,1,480.3453,1,precursor,18.53,2037546,85693,1
1857x,molecules2,HCW17-052315,480.3453,1,480.3453,1,precursor,18.51,2121471,98207,1
1857x,molecules2,HCW18-052315,480.3453,1,480.3453,1,precursor,18.52,725625,26829,1
1857x,molecules2,HCW19-052315,480.3453,1,480.3453,1,precursor,18.47,1680375,51074,1
1857x,molecules2,HCW47-052315,480.3453,1,480.3453,1,precursor,18.51,1283440,59408,1
1857x,molecules2,HCW48-052315,480.3453,1,480.3453,1,precursor,18.58,2150316,85745,1
1857x,molecules2,HCW49-052315,480.3453,1,480.3453,1,precursor,18.47,1403088,52127,1
1857x,molecules2,HCW50-052315,480.3453,1,480.3453,1,precursor,18.6,3899055,146874,1
1857x,molecules2,HCW51-052315,480.3453,1,480.3453,1,precursor,18.46,1980019,58687,1
1857x,molecules2,HCW52-052315,480.3453,1,480.3453,1,precursor,18.53,1927031,68721,1
1857x,molecules2,HCW53-052315,480.3453,1,480.3453,1,precursor,18.57,2401307,122932,1
1857x,molecules2,HCW54-052315,480.3453,1,480.3453,1,precursor,18.46,1968875,68170,1
1857x,molecules2,HCW55-052315,480.3453,1,480.3453,1,precursor,18.49,1863947,89930,1
1857x,molecules2,HCW56-052315,480.3453,1,480.3453,1,precursor,18.96,842108,34873,1
1857x,molecules2,HCW57-052315,480.3453,1,480.3453,1,precursor,18.6,1721814,75338,1
1857x,molecules2,HCW58-052315,480.3453,1,480.3453,1,precursor,18.51,2377067,117181,1
1857x,molecules2,HCW59-052315,480.3453,1,480.3453,1,precursor,18.49,2324590,104042,1
1857x,molecules2,HCW60-052315,480.3453,1,480.3453,1,precursor,18.56,2213894,110858,1
1758,molecules1,EDL108-052315,469.389367,1,469.389367,1,precursor,21.13,330308,19389,1
1758,molecules1,EDL100-052315,469.389367,1,469.389367,1,precursor,21.1,166913,6590,1
1758,molecules1,EDL101-052315,469.389367,1,469.389367,1,precursor,21.09,609139,41449,1
1758,molecules1,EDL102-052315,469.389367,1,469.389367,1,precursor,21.06,705495,35824,1
1758,molecules1,EDL103-052315,469.389367,1,469.389367,1,precursor,21.11,386726,24390,1
1758,molecules1,EDL104-052315,469.389367,1,469.389367,1,precursor,21.11,72886,8570,1
1758,molecules1,EDL105-052315,469.389367,1,469.389367,1,precursor,21.09,303837,20143,1
1758,molecules1,EDL106-052315,469.389367,1,469.389367,1,precursor,21.1,337026,20030,1
1758,molecules1,EDL107-052315,469.389367,1,469.389367,1,precursor,21.13,346868,21324,1
1758,molecules1,EDL109-052315,469.389367,1,469.389367,1,precursor,21.11,203963,16368,1
1758,molecules1,EDL110-052315,469.389367,1,469.389367,1,precursor,21.09,205293,20295,1
1758,molecules1,EDL111-052315,469.389367,1,469.389367,1,precursor,21.1,223598,14670,1
1758,molecules1,EDL112-052315,469.389367,1,469.389367,1,precursor,21.6,225761,32980,1
1758,molecules1,EDL113-052315,469.389367,1,469.389367,1,precursor,21.07,252324,15259,1
1758,molecules1,EDL114-052315,469.389367,1,469.389367,1,precursor,21.12,150759,12501,1
1758,molecules1,EDL115-052315,469.389367,1,469.389367,1,precursor,21.16,333538,22877,1
1758,molecules1,EDL116-052315,469.389367,1,469.389367,1,precursor,21.08,130072,16167,1
1758,molecules1,EDL117-052315,469.389367,1,469.389367,1,precursor,21.1,436662,18458,1
1758,molecules1,EDL118-052315,469.389367,1,469.389367,1,precursor,21.1,155919,21071,1
1758,molecules1,EDL119-052315,469.389367,1,469.389367,1,precursor,21.16,508785,25921,1
1758,molecules1,EDL120-052315,469.389367,1,469.389367,1,precursor,21.22,432284,35474,1
1758,molecules1,EDL121-052315,469.389367,1,469.389367,1,precursor,21.18,341744,15329,1
1758,molecules1,EDL122-052315,469.389367,1,469.389367,1,precursor,21.07,116702,7019,1
1758,molecules1,EDL123-052315,469.389367,1,469.389367,1,precursor,21.1,389822,17748,1
1758,molecules1,EDL124-052315,469.389367,1,469.389367,1,precursor,21.07,203632,13756,1
1758,molecules1,EDL125-052315,469.389367,1,469.389367,1,precursor,21.14,197850,9467,1
1758,molecules1,EDL81-052315,469.389367,1,469.389367,1,precursor,21.11,783593,63224,1
1758,molecules1,EDL82-052315,469.389367,1,469.389367,1,precursor,21.47,747081,29298,1
1758,molecules1,EDL83-052315,469.389367,1,469.389367,1,precursor,21.14,143633,7173,1
1758,molecules1,EDL84-052315,469.389367,1,469.389367,1,precursor,21.05,267696,9050,1
1758,molecules1,EDL85-052315,469.389367,1,469.389367,1,precursor,21.09,308860,7600,1
1758,molecules1,EDL91-052315,469.389367,1,469.389367,1,precursor,21.08,198590,11396,1
1758,molecules1,EDL92-052315,469.389367,1,469.389367,1,precursor,21.14,267395,23192,1
1758,molecules1,EDL93-052315,469.389367,1,469.389367,1,precursor,21.2,228304,10380,1
1758,molecules1,EDL94-052315,469.389367,1,469.389367,1,precursor,21.12,341135,19289,1
1758,molecules1,EDL95-052315,469.389367,1,469.389367,1,precursor,21.16,175133,9425,1
1758,molecules1,EDL96-052315,469.389367,1,469.389367,1,precursor,21.04,192256,11907,1
1758,molecules1,EDL97-052315,469.389367,1,469.389367,1,precursor,21.1,22270,3454,1
1758,molecules1,EDL98-052315,469.389367,1,469.389367,1,precursor,21.1,664699,31288,1
1758,molecules1,EDL99-052315,469.389367,1,469.389367,1,precursor,21.05,324817,22605,1
1758,molecules1,ELL11-052315,469.389367,1,469.389367,1,precursor,21.09,176985,8231,1
1758,molecules1,ELL12-052315,469.389367,1,469.389367,1,precursor,21.13,149418,13753,1
1758,molecules1,ELL13-052315,469.389367,1,469.389367,1,precursor,21.08,198741,15834,1
1758,molecules1,ELL14-052315,469.389367,1,469.389367,1,precursor,21.1,332571,21076,1
1758,molecules1,ELL15-052315,469.389367,1,469.389367,1,precursor,21.08,492776,35233,1
1758,molecules1,ELL21-052315,469.389367,1,469.389367,1,precursor,21.11,155059,10652,1
1758,molecules1,ELL22-052315,469.389367,1,469.389367,1,precursor,21.09,341422,19872,1
1758,molecules1,ELL23-052315,469.389367,1,469.389367,1,precursor,21.09,522877,29319,1
1758,molecules1,ELL24-052315,469.389367,1,469.389367,1,precursor,21.06,353269,28180,1
1758,molecules1,ELL25-052315,469.389367,1,469.389367,1,precursor,21.11,380112,25620,1
1758,molecules1,ELL26-052315,469.389367,1,469.389367,1,precursor,21.09,218616,8867,1
1758,molecules1,ELL27-052315,469.389367,1,469.389367,1,precursor,21.08,117215,8980,1
1758,molecules1,ELL28-052315,469.389367,1,469.389367,1,precursor,21.12,279372,29189,1
1758,molecules1,ELL29-052315,469.389367,1,469.389367,1,precursor,21.11,87550,6494,1
1758,molecules1,ELL30-052315,469.389367,1,469.389367,1,precursor,21.12,165016,16125,1
